name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Perth,10/23/2022,20.9,12.5,16,20.9,12.5,16,12.9,83.3,5.724,100,12.5,rain,0,0,37.1,14.5,158.7,1010.2,87,15.3,86.8,7.4,4,10,2022-10-23T05:28:19,2022-10-23T18:34:05,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,10/24/2022,20.5,13.7,17.1,20.5,13.7,17.1,13,78.1,3.547,100,8.33,rain,0,0,42.5,28.6,216.8,1009.8,38.1,13.8,223.3,19.3,10,10,2022-10-24T05:27:15,2022-10-24T18:34:52,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,10/25/2022,20.1,13,16.3,20.1,13,16.3,10.5,70.1,0.134,100,8.33,rain,0,0,37.4,21.4,206.6,1016.5,32.6,14.8,139.4,12,5,10,2022-10-25T05:26:13,2022-10-25T18:35:39,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,10/26/2022,21.3,7.4,15.6,21.3,7.4,15.6,8.7,66,0,0,0,,0,0,30.6,23.9,197.7,1017.1,15.3,14.3,251.9,21.8,8,10,2022-10-26T05:25:11,2022-10-26T18:36:27,0.03,Clear,Clear conditions throughout the day.,clear-day,"F4023,94610099999,94609099999,YPPH,95610099999,YPJT,94602099999,YPEA,94614099999,94608099999"
Perth,10/27/2022,22.4,11.5,16.5,22.4,11.5,16.5,8,58.2,0,0,0,,0,0,38.9,24,153.9,1013.5,25.3,14.6,225.3,19.4,9,10,2022-10-27T05:24:10,2022-10-27T18:37:15,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4023,94610099999,94609099999,YPPH,95610099999,YPJT,94602099999,94614099999,94608099999"
Perth,10/28/2022,25.9,13.2,19.4,25.9,13.2,19.4,7.5,47.5,0,0,0,rain,0,0,52.9,20.3,125.6,1008.5,45.4,14.8,323.1,27.9,10,10,2022-10-28T05:23:11,2022-10-28T18:38:04,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,10/29/2022,16.6,12.3,14.6,16.6,12.3,14.6,8.9,69.3,0.224,100,16.67,rain,0,0,50,19.9,157.3,1006.8,91.1,13.9,73.8,6.3,3,10,2022-10-29T05:22:13,2022-10-29T18:38:53,0.13,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,10/30/2022,17.1,9.5,13.1,17.1,7.1,12.8,5.4,61.3,0.882,100,12.5,rain,0,0,56.9,26.7,168.1,1016.6,45.9,13.8,235.2,20.3,10,10,2022-10-30T05:21:15,2022-10-30T18:39:43,0.17,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,10/31/2022,20,5.8,13.6,20,5.8,13.6,6.2,63.9,0.065,100,8.33,rain,0,0,34.9,24.4,182.4,1024.6,25.7,13.6,252.3,21.9,10,10,2022-10-31T05:20:19,2022-10-31T18:40:32,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,11/1/2022,20,7.3,14.9,20,7.3,14.9,9.1,69.2,0,0,0,,0,0,40.3,19.2,183.1,1024.9,6.7,13.6,308.5,26.6,10,10,2022-11-01T05:19:24,2022-11-01T18:41:23,0.25,Clear,Clear conditions throughout the day.,clear-day,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,11/2/2022,24.9,14.4,19.1,24.9,14.4,19.1,11.7,63.6,0,0,0,,0,0,43.6,18.8,145.1,1022.2,21.7,14.8,257,22.1,10,10,2022-11-02T05:18:31,2022-11-02T18:42:13,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
Perth,11/3/2022,32,16.1,22.6,29.9,16.1,22.2,9.6,47.7,0,0,0,,0,0,54.4,25.2,48.5,1016.5,71,14.6,250,21.6,9,10,2022-11-03T05:17:39,2022-11-03T18:43:04,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F4023,94610099999,94609099999,YPPH,95610099999,YPJT,94602099999,YPEA,94614099999,94608099999"
Perth,11/4/2022,22.3,15.1,18.5,22.3,15.1,18.5,12.4,69,0,0,0,,0,0,31.3,22.4,222.8,1017.7,19.4,15.4,235.7,20.5,8,10,2022-11-04T05:16:48,2022-11-04T18:43:56,0.35,Clear,Clear conditions throughout the day.,clear-day,"F4023,94610099999,94609099999,95610099999,94602099999,94614099999,94608099999"
